VC Name,Partner,Linkedin,Linkedin Request?,Connected?
1Sharpe Ventures,Gregor Watson,https://www.linkedin.com/in/gregor-watson-b5abb68/,sent,
468 Capital,Florian Leibert,https://www.linkedin.com/in/florianleibert,sent,
8-Bit Capital,Jonathan Abrams,https://www.linkedin.com/in/jonathanabrams,sent,
8VC,Joe Lonsdale,https://www.linkedin.com/in/jtlonsdale,sent,
Act One Ventures,Michael Silton,https://www.linkedin.com/in/michaelsilton,sent,
Alumni Ventures,Michael Collins,https://www.linkedin.com/in/mike-collins-362100,sent,
Amazon Industrial Innovation Fund,Franziska Bossart,https://www.linkedin.com/in/franziska-bossart-b3799153,sent,
Amex Ventures,Margaret Lim,https://www.linkedin.com/in/margaret-lim-amex,sent,
Base10 Partners,Adeyemi Ajao,https://www.linkedin.com/in/adeyemiajao,sent,
Big Brain Holdings,Sam Kim,https://uk.linkedin.com/in/ksm-sam-kim,sent,
Blockchange Ventures,Ken Seiff,https://www.linkedin.com/in/seiff,sent,
Blank Ventures,Hannah Chelkowski,https://www.linkedin.com/in/hannahchelkowski,sent,yes
Cervin Ventures,Neeraj Gupta,https://www.linkedin.com/in/neerajgupta123,sent,
CoinFund,Jake Brukhman,https://www.linkedin.com/in/jake-brukhman-6037867,sent,
Comma Capital,David Ongchoco,https://www.linkedin.com/in/davidongchoco,sent,yes
Construct Capital,Dayna Grayson,https://www.linkedin.com/in/daynagrayson,sent,
Correlation Ventures,David Coats,https://www.linkedin.com/in/david-coats-2a26b66,sent,
Costanoa Ventures,Greg Sands,https://www.linkedin.com/in/gregsands,sent,
Coho Deeptech,Jennifer Zhai,https://www.linkedin.com/in/jenniferyichenzhai,sent,
Convective Capital,Bill Clerico,https://www.linkedin.com/in/billclerico/,1,
DNX Ventures,Hiro Rio Maeda,https://www.linkedin.com/in/hiroriomaeda/,1,
Eniac Ventures,Hadley Harris,https://www.linkedin.com/in/hadleyharris,1,
Era Ventures,Clelia Warburg Peters,https://www.linkedin.com/in/cleliapeters,,
Everywhere Ventures,Jenny Fielding,https://www.linkedin.com/in/jennyfielding,1,
Failup Ventures,Jesse Heikkilä,https://www.linkedin.com/in/heikkilajesse,1,
FJ Labs,Fabrice Grinda,https://www.linkedin.com/in/fabricegrinda,1,
Felicis,Aydin Senkut,https://www.linkedin.com/in/aydins/,1,
Frazier Group,Scott Frazier,https://www.linkedin.com/in/scott-frazier-51823,1,
Framework Ventures,Vance Spencer,https://www.linkedin.com/in/vance-spencer-978b4579,1,
Foundation Capital,Charles Moldow,https://www.linkedin.com/in/charlesmoldow,1,
Forerunner,Kirsten Green,https://www.linkedin.com/in/kirstengreen,1,
Flybridge,Jeff Bussgang,https://www.linkedin.com/in/bussgang,1,
Fusion Fund,Lu Zhang,https://www.linkedin.com/in/luzhangvc,1,1
First Round Capital,Josh Kopelman,https://www.linkedin.com/in/jkopelman,1,
Florida Funders,Tom Wallace,https://www.linkedin.com/in/tom-wallace-568412,1,
GFR Fund,Teppei Tsutsui,https://www.linkedin.com/in/teppeitsutsui,1,
Garuda Ventures,Rishi Taparia,https://www.linkedin.com/in/rktaparia,1,1
General Catalyst,David Fialkow,https://www.linkedin.com/in/david-fialkow-20085852,1,
Golden Ventures,Matt Golden,https://www.linkedin.com/in/magolden/,1,
